actual,predicted
306.17,270.79318
158.76,163.91626
200.0,217.23495
320.0,329.21628
215.46,194.70837
192.5,200.26399
124.74,134.87483
207.5,222.70685
157.5,154.8021
163.29,185.28915
205.0,221.64642
151.95,166.75726
127.0,131.7038
263.08,270.39682
227.5,230.82869
80.0,115.23112
147.42,132.13448
120.2,143.54375
155.0,128.45415
204.12,192.22044
235.0,259.83807
127.5,111.22221
160.0,173.75607
140.0,142.04869
158.76,147.67188
205.0,217.96115
162.5,163.38046
235.0,231.45818
115.0,129.75502
251.74,274.3183
252.5,260.58795
136.08,194.88165
83.91,79.29255
147.5,153.44469
251.74,232.62903
107.5,122.57646
92.5,123.48289
287.5,290.55698
170.0,227.20963
130.0,121.37698
242.5,250.17099
135.0,139.44093
200.0,205.32895
202.5,195.45665
237.5,218.43234
137.5,130.57079
215.0,219.60811
327.5,310.0867
217.5,216.89491
215.0,247.44815
145.0,118.13202
195.0,221.03096
270.0,259.82993
140.0,131.50975
132.5,135.47095
174.63,197.04231
197.5,181.20964
170.0,188.08505
238.14,242.13779
195.04,192.51926
175.0,194.67245
185.0,158.20654
287.5,248.24559
137.5,111.257744
206.0,188.74844
127.01,141.65219
208.65,225.44597
154.2,176.95166
180.0,147.43892
210.0,215.04178
180.0,182.1721
152.5,130.20996
272.5,265.4857
190.0,207.1134
242.5,255.63026
210.0,184.25795
294.84,292.95834
210.0,206.58826
147.5,149.27502
235.0,235.8933
183.7,195.97762
145.0,165.68814
230.0,209.28432
195.0,185.48723
129.27,148.24141
227.5,230.21178
215.46,237.41972
150.0,151.06569
227.5,212.67392
192.78,197.06451
155.0,152.00838
170.0,162.35875
170.0,171.80124
250.0,266.0494
111.13,108.885376
185.97,144.25475
215.46,211.09749
115.0,133.00919
375.0,328.63892
182.5,182.58192
160.0,165.09772
230.0,239.8046
140.0,142.89917
190.0,167.98378
219.99,200.90292
197.5,215.39958
158.76,149.96571
262.5,244.147
185.0,156.92029
112.5,114.51578
127.5,128.2097
172.37,173.27884
190.51,203.32536
100.0,157.65965
185.0,177.34277
242.5,230.78664
142.88,146.75092
215.0,220.6403
200.0,206.10376
215.0,219.82603
245.0,267.60696
272.5,219.28204
130.0,134.24792
237.5,233.21185
287.5,271.21872
175.0,154.10648
199.58,213.60555
250.0,253.62614
190.0,199.43463
205.5,209.7134
235.0,254.67029
174.63,155.44429
242.5,264.41742
272.5,246.6421
165.0,153.64421
145.0,139.48042
137.5,103.62448
200.0,190.93736
167.5,168.18968
257.5,270.48984
163.29,163.53094
180.0,199.4917
199.58,210.24152
262.5,242.15182
190.51,193.06389
185.0,184.4426
200.0,211.81976
150.0,149.63425
136.08,120.1491
227.5,241.87605
267.5,252.33546
272.16,262.78177
162.5,180.87297
235.87,221.99219
127.5,138.38223
265.35,232.94609
322.5,311.17923
183.7,178.8568
147.42,166.29967
155.0,155.22571
272.5,259.5959
185.97,168.62323
227.5,259.4369
287.5,284.3807
200.0,189.87454
229.06,254.11205
174.63,151.05054
142.5,155.73279
195.04,173.06438
300.0,273.8899
215.46,221.37045
250.0,260.97598
249.48,243.78506
106.59,110.45052
280.0,245.25339
217.5,247.65497
275.0,285.24847
152.5,132.13947
202.5,195.9935
247.5,244.76288
183.7,191.82884
110.0,109.71553
92.99,111.5634
195.04,209.67097
255.0,245.4526
142.88,147.25859
230.0,246.38823
320.5,290.3991
142.5,152.54117
100.0,96.10957
150.0,130.5122
260.82,250.91165
132.5,145.8961
107.5,116.12627
200.0,214.37239
150.0,148.49417
225.0,217.88458
250.0,255.65437
230.0,248.11635
190.0,186.2982
185.0,164.98326
245.0,240.65816
270.0,279.57385
182.5,184.42776
204.12,222.98209
