BestSquatKg,BestBenchKg,BodyweightKg,Sex,Equipment,BestDeadliftKg
306.17,190.51,82.5,M,Wraps,288.03
175.0,135.0,81.3,M,Raw,205.0
227.5,117.5,102.9,M,Raw,235.0
260.0,140.0,88.0,M,Wraps,250.0
149.69,74.84,102.15,F,Wraps,165.56
270.0,157.5,108.2,M,Wraps,272.5
145.0,100.0,91.2,M,Raw,187.5
426.38,308.44,131.31,M,Multi-ply,301.64
92.5,55.0,59.87,F,Raw,127.5
170.0,112.5,67.05,M,Raw,217.5
195.0,195.0,81.6,M,Multi-ply,205.0
222.26,111.13,113.94,M,Single-ply,213.19
272.16,149.69,104.33,M,Multi-ply,235.87
200.0,127.5,104.3,M,Raw,240.0
310.0,182.5,136.89,M,Wraps,272.5
87.5,45.0,62.7,F,Raw,107.5
260.0,162.5,106.6,M,Wraps,265.0
219.99,113.4,92.62,M,Single-ply,226.8
240.0,152.5,88.5,M,Single-ply,245.0
135.0,72.5,89.3,F,Raw,160.0
215.0,142.5,103.4,M,Raw,252.5
226.8,181.44,98.61,M,Single-ply,226.8
283.5,183.7,99.06,M,Multi-ply,229.06
245.0,137.5,89.49,M,Wraps,245.0
120.0,77.5,79.6,M,Raw,155.0
190.0,140.0,98.4,M,Raw,237.5
110.0,70.0,73.2,M,Raw,145.0
206.4,152.0,91.3,M,Single-ply,260.8
102.06,43.09,51.71,F,Raw,136.08
302.5,187.5,124.56,M,Raw,295.0
237.5,155.0,101.7,M,Single-ply,235.0
210.92,149.69,109.77,M,Single-ply,215.46
87.5,50.0,58.3,F,Raw,122.5
212.5,150.0,91.3,M,Raw,205.0
172.5,120.0,79.3,M,Raw,207.5
112.5,102.5,79.56,M,Raw,160.0
165.0,105.0,86.68,M,Raw,220.0
317.51,238.14,123.65,M,Wraps,308.44
489.88,335.66,142.25,M,Multi-ply,358.34
157.5,102.5,92.6,M,Raw,192.5
77.5,50.0,46.6,F,Raw,107.5
105.0,70.0,67.0,F,Raw,150.0
175.0,105.0,58.7,M,Raw,202.5
256.28,129.27,89.81,M,Single-ply,258.55
240.0,150.0,97.2,M,Raw,202.5
113.4,68.04,74.48,F,Raw,122.47
235.0,140.0,108.8,M,Single-ply,230.0
199.58,127.01,74.93,M,Wraps,240.4
157.5,87.5,68.1,M,Single-ply,182.5
222.5,177.5,91.55,M,Raw,292.5
340.0,190.0,82.91,M,Single-ply,320.0
142.5,67.5,98.2,F,Raw,155.0
160.0,95.0,65.6,M,Raw,190.0
220.0,130.0,122.4,M,Raw,235.0
255.0,155.0,103.0,M,Raw,272.5
252.5,172.5,109.3,M,Raw,267.5
70.0,42.5,60.1,F,Raw,95.0
350.0,292.5,109.9,M,Single-ply,272.5
350.0,210.0,156.3,M,Wraps,290.0
200.0,122.5,80.8,M,Raw,215.0
137.5,110.0,76.9,M,Raw,185.0
200.0,215.0,104.9,M,Single-ply,180.0
161.03,95.25,111.99,M,Single-ply,170.1
217.5,135.0,104.5,M,Raw,250.0
340.0,207.5,122.5,M,Single-ply,290.0
142.88,72.57,58.51,M,Single-ply,165.56
272.16,204.12,138.16,M,Multi-ply,249.48
181.44,102.06,95.16,M,Single-ply,183.7
135.0,92.5,69.8,M,Raw,180.0
256.28,145.15,82.1,M,Single-ply,244.94
181.44,147.42,92.35,M,Wraps,195.04
162.5,90.0,102.57,F,Raw,227.5
120.0,77.5,74.6,F,Raw,165.0
181.44,104.33,91.53,M,Single-ply,176.9
292.5,207.5,120.66,M,Wraps,300.0
110.0,70.0,70.8,F,Raw,180.0
120.0,90.0,85.5,M,Single-ply,165.0
285.0,177.5,101.6,M,Single-ply,315.0
272.16,176.9,107.95,M,Single-ply,240.4
174.63,111.13,147.6,M,Single-ply,174.63
192.78,124.74,119.2,M,Single-ply,226.8
100.0,55.0,47.5,F,Single-ply,135.0
299.37,65.77,112.49,M,Multi-ply,272.16
217.72,136.08,80.74,M,Single-ply,217.72
372.5,255.0,117.98,M,Single-ply,285.0
190.0,165.0,98.5,M,Single-ply,210.0
181.44,106.59,74.93,M,Raw,195.04
190.0,142.5,114.4,M,Raw,220.0
142.5,77.5,75.5,F,Raw,155.0
104.33,72.57,81.19,F,Wraps,124.74
107.5,70.0,55.9,M,Raw,135.0
260.0,192.5,113.2,M,Single-ply,232.5
200.0,125.0,86.1,M,Raw,240.0
142.88,117.93,99.25,M,Wraps,208.65
97.5,52.5,116.5,F,Raw,127.5
250.0,175.0,100.0,M,Raw,240.0
210.0,102.5,73.8,M,Single-ply,235.0
160.0,102.5,78.0,M,Raw,165.0
165.0,145.5,95.5,M,Raw,215.0
127.5,62.5,63.0,F,Raw,150.0
183.7,106.59,76.29,M,Wraps,192.78
225.0,142.5,123.5,M,Raw,272.5
95.0,60.0,67.2,M,Raw,115.0
250.0,145.0,107.2,M,Single-ply,250.0
252.5,165.0,91.1,M,Raw,255.0
227.5,142.5,81.72,M,Raw,237.5
170.1,129.27,88.0,M,Wraps,181.44
72.5,47.5,56.5,F,Raw,102.5
115.0,72.5,72.21,F,Wraps,157.5
190.0,120.0,89.6,M,Raw,210.0
160.0,117.5,73.7,M,Raw,190.0
140.0,70.0,74.8,F,Raw,167.5
217.5,182.5,107.3,M,Raw,252.5
204.12,97.52,116.17,M,Single-ply,206.38
267.5,185.0,90.0,M,Multi-ply,220.0
282.5,195.0,82.5,M,Raw,262.5
365.14,272.16,74.84,M,Multi-ply,256.28
110.0,50.0,55.0,F,Raw,145.0
120.0,65.0,56.0,F,Raw,147.5
381.02,238.14,139.25,M,Multi-ply,342.46
175.0,140.0,67.5,M,Single-ply,190.0
177.5,90.0,71.68,F,Single-ply,170.0
125.0,77.5,70.6,F,Raw,167.5
97.5,45.0,70.6,F,Raw,112.5
237.5,177.5,80.5,M,Raw,272.5
90.0,40.0,78.6,F,Raw,115.0
80.0,75.0,71.65,M,Raw,140.0
300.0,232.5,104.5,M,Wraps,310.0
170.1,151.95,82.1,M,Raw,235.87
120.0,62.5,62.9,F,Raw,150.0
210.0,135.0,80.2,M,Raw,240.0
210.0,150.0,89.24,M,Single-ply,227.5
142.88,79.38,81.83,M,Single-ply,115.67
200.0,147.5,109.1,M,Raw,240.0
170.0,92.5,60.0,M,Single-ply,200.0
185.0,142.5,81.0,M,Raw,197.5
180.0,105.0,94.3,M,Raw,205.0
208.65,165.56,109.36,M,Single-ply,179.17
177.5,115.0,62.87,F,Single-ply,177.5
152.5,110.0,98.6,F,Raw,182.5
181.44,113.4,80.56,M,Wraps,233.6
302.5,210.0,100.0,M,Single-ply,295.0
145.0,75.0,82.4,F,Wraps,152.5
265.0,165.0,104.0,M,Single-ply,242.5
280.0,167.5,132.95,M,Wraps,280.0
136.08,56.7,83.01,M,Single-ply,145.15
187.5,117.5,121.2,M,Raw,227.5
77.11,49.9,74.57,F,Raw,117.93
227.5,172.5,90.6,M,Raw,255.0
140.0,105.0,73.0,M,Raw,180.0
267.5,185.0,111.72,M,Raw,285.0
182.5,152.5,81.0,M,Raw,202.5
105.0,60.0,58.3,F,Raw,130.0
122.5,47.5,51.3,F,Single-ply,135.0
133.81,92.99,71.58,M,Single-ply,165.56
227.5,137.5,94.95,M,Wraps,240.0
255.0,140.0,97.85,M,Wraps,247.5
365.0,197.5,118.0,M,Wraps,345.0
129.27,72.57,78.2,M,Single-ply,149.69
138.35,56.7,55.79,M,Single-ply,142.88
145.0,102.5,79.0,M,Raw,172.5
332.5,182.5,90.0,M,Single-ply,332.5
200.0,137.5,88.5,M,Raw,260.0
149.69,90.72,73.39,M,Single-ply,165.56
180.0,122.5,81.5,M,Wraps,235.0
227.5,150.0,106.4,M,Raw,245.0
85.0,85.0,57.7,M,Single-ply,120.0
238.14,156.49,77.2,F,Multi-ply,210.92
247.5,142.5,82.35,M,Raw,300.0
205.0,152.5,58.8,M,Single-ply,200.0
162.5,120.0,86.6,M,Raw,192.5
115.0,67.5,62.4,F,Raw,155.0
226.8,142.88,98.43,M,Wraps,272.16
272.5,170.0,124.47,M,Wraps,305.0
157.5,117.5,66.8,M,Raw,175.0
136.08,68.04,59.51,M,Single-ply,133.81
175.0,160.0,102.4,M,Raw,245.0
165.56,102.06,73.48,M,Single-ply,179.17
200.0,115.0,80.9,M,Raw,245.0
205.0,150.0,90.8,M,Raw,237.5
142.5,105.0,64.4,M,Single-ply,170.0
111.13,111.13,96.43,M,Wraps,161.03
317.51,181.44,154.58,M,Single-ply,226.8
105.0,82.5,99.97,M,Wraps,162.5
200.0,150.0,82.0,M,Raw,235.0
115.67,83.91,103.15,M,Single-ply,136.08
127.01,54.43,60.21,F,Raw,142.88
192.5,107.5,52.0,M,Single-ply,185.0
227.5,167.5,89.63,M,Raw,260.0
172.37,104.33,88.0,M,Single-ply,188.24
244.94,127.01,135.62,M,Single-ply,204.12
167.5,97.5,64.9,M,Single-ply,197.5
170.0,132.5,104.8,M,Raw,227.5
230.0,155.0,80.86,M,Raw,230.0
117.5,52.5,61.05,F,Wraps,137.5
207.5,140.0,98.7,M,Raw,240.0
240.0,140.0,89.4,M,Single-ply,260.0
35.0,37.5,59.5,F,Raw,77.5
92.5,60.0,55.4,F,Raw,152.5
288.03,215.46,117.3,M,Wraps,288.03
242.5,170.0,107.7,M,Wraps,305.0
225.0,152.5,108.8,M,Raw,240.0
242.5,175.0,92.3,M,Raw,250.0
90.0,60.0,80.5,F,Raw,105.0
177.5,152.5,102.6,M,Single-ply,195.0
187.5,125.0,73.6,M,Raw,242.5
410.0,250.0,123.2,M,Multi-ply,250.0
207.5,135.0,89.3,M,Raw,275.0
215.0,152.5,71.64,F,Single-ply,192.5
145.0,120.0,88.6,M,Raw,185.0
149.69,92.99,51.53,M,Single-ply,158.76
115.0,67.5,45.7,F,Raw,170.5
90.0,42.5,64.5,F,Raw,137.5
190.0,140.0,122.3,M,Wraps,200.0
222.5,115.0,102.5,M,Raw,250.0
77.5,50.0,59.6,F,Raw,122.5
107.5,62.5,94.3,F,Raw,152.5
162.5,105.0,80.7,M,Raw,195.0
240.0,160.0,100.7,M,Raw,225.0
